.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMEI;.;531564464931796;844089018975547;5819164598021;978574761137336;795691965991443;706560843117942;303223109446319;587428340019631;723869689080073;603619603655634;671049749365066;843048149864683;722308901759770;64822741699669;943394216115193;46588688365950;530332010486196;770799840978788;524354308009691;.;.;.;.;802910036211745;987820867103638;952513667615231;649128039000711;985512598979614;249708457989651;322270759063182;.;.;143004408391905;251648408130744;337627331261608;875676979462036;.;665003511841006;581605201650169;36619705881581;744899947809308;251489306782589;953875223880666;.;551599847836764;663724002498357;732336322420386;394857934061924;723962888989905;679896372351996;923321670582190;893845917793809;869617193075069;581249158224008;843360911270229;505414884951205;637957823923257;743517127810913;41545954570335;595773024461625;842615102024283;625900755793801;589683872408150;602496029605727;502477914127655;65545375520861;822148592343810;881626283988844;156003169091211
Device Name;TG2- MEDICION GENERAL;LOCAL 113 MINISO;LOCAL  109;LOCAL 111 MINISO;LOCAL 118 SUNTIME;LOCAL 205 ARGENPER;LOCAL 114 TOPI TOP;LOCAL 123 ADIDAS;LOCAL 125 ADIDAS;LOCAL 124 ADIDAS;LOCAL 112 MINISO;LOCAL 116 LA EMPAPADA;LOCAL 117;LOCAL 115 LA EMPAPADA;LOCAL 110 PORTEÃ‘OS;LOCAL 107;LOCAL 120 SUNTIME;LOCAL 119 SUNTIME;LOCAL 104 ALMACEN SERMITECH;LOCAL 102 COOLBOX;LOCAL 210 CASA IDEAS;LOCAL 211 CASA IDEAS;LOCAL 209 CASA IDEAS;RESERVA EQUIPADA LCN30;LOCAL 126;LOCAL 204;LOCAL 103 BE SIFRAH;LOCAL 121 ISADORA;LOCAL 122 TODO MODA;LOCAL 106 CALIMOD;LOCAL 105 AZALEIA;RESERVA EQUIPADA LCN25;LOCAL 212 CASA IDEAS;LOCAL 206 DOLLARCITY;LOCAL 108 MAYLIN;PISO 3 SECTOR 1B M302;PISO 3 SECTOR 1B M307;TABLERO DE DAMPERS;LOCAL 301;LOCAL 101B;LOCAL 303 ;LOCAL 203;LOCAL 202;PISO 3 SECTOR 1B M301;RESERVA EQUIPADA LCN39;LOCAL 101A STARBUCKS;LOCAL 304-305;LOCAL 312;PISO 3 SECTOR 1B M308;PISO 2 SECTOR 1B M303;PISO 3 SECTOR 1B M304;LOCAL M105;LOCAL M106;LOCAL 108B;MODULO M101;MODULO M102;LOCAL M103;LOCAL M104;LOCAL M201;LOCAL M202;LOCAL M203;LOCAL M204;PISO 3 SECTOR 1B M306;PISO 3 SECTOR 1B M305;LOCAL 208 CASA IDEAS;LOCAL 310 PIZZA HUT;LOCAL 308 KFC;LOCAL 306-307 KFC;LOCAL 201;LOCAL 313 SMARTFIT
Measurement Unit;;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh
2025-09-01 00:00:00;;679703;280613;49929;NaN;70524;100926;88526;124732;2414;0;0;0;263;0;0;NaN;0;31308;218892;NaN;NaN;NaN;NaN;0;NaN;2226;228039;31479;0;0;NaN;0;3340048;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
2025-09-01 00:10:00;;679910;280676;49935;NaN;70524;100949;88526;124789;551;0;0;0;263;0;0;NaN;0;31325;218989;NaN;NaN;NaN;NaN;0;NaN;2226;228054;31484;0;0;NaN;0;3340437;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
2025-09-01 00:20:00;;680117;280740;49941;NaN;70524;100980;88526;124847;551;0;0;0;263;0;0;NaN;0;31343;219085;NaN;NaN;NaN;NaN;0;NaN;2226;228069;31489;0;0;NaN;0;3340904;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
2025-09-01 00:30:00;;680323;280805;49947;NaN;70524;101003;88526;124904;551;0;0;0;263;0;0;NaN;0;31360;219181;NaN;NaN;NaN;NaN;0;NaN;2226;228084;31494;0;0;NaN;0;3341251;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
2025-09-01 00:40:00;;680531;280869;49953;NaN;70524;101026;88526;124961;551;0;0;0;263;0;0;NaN;0;31378;219278;NaN;NaN;NaN;NaN;0;NaN;2226;228099;31499;0;0;NaN;0;3341617;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
2025-09-01 00:50:00;;680737;280928;49959;NaN;70524;101056;88526;125018;551;0;0;0;263;0;0;NaN;0;31395;219374;NaN;NaN;NaN;NaN;0;NaN;2226;228114;31503;0;0;NaN;0;3342108;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
2025-09-01 01:00:00;;680944;280985;49965;NaN;70524;101079;88526;125075;551;0;0;0;263;0;0;NaN;0;31413;219470;NaN;NaN;NaN;NaN;0;NaN;2226;228129;31508;0;0;NaN;0;3342456;0;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973
