PANEL;PANEL TG2 N1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element ID;modbus:1_mb_WHr_I;zigbee:1_zd_WHr_I;zigbee:3_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:6_zd_WHr_I;zigbee:9_zd_WHr_I;zigbee:10_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:13_zd_WHr_I;zigbee:14_zd_WHr_I;zigbee:15_zd_WHr_I;zigbee:17_zd_WHr_I;zigbee:18_zd_WHr_I;zigbee:19_zd_WHr_I;zigbee:20_zd_WHr_I;zigbee:22_zd_WHr_I;zigbee:23_zd_WHr_I;zigbee:24_zd_WHr_I;zigbee:25_zd_WHr_I;zigbee:26_zd_WHr_I;zigbee:27_zd_WHr_I;zigbee:28_zd_WHr_I;zigbee:29_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:32_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:63_zd_WHr_I;zigbee:65_zd_WHr_I;zigbee:67_zd_WHr_I;zigbee:68_zd_WHr_I;zigbee:69_zd_WHr_I;zigbee:71_zd_WHr_I;zigbee:73_zd_WHr_I;zigbee:66_zd_WHr_I;zigbee:21_zd_WHr_I;modbus:1_mb_VARHr_I;modbus:1_mb_VARHr_O;zigbee:73_zd_VARHr_I;zigbee:73_zd_VARHr_O;zigbee:71_zd_VARHr_I;zigbee:71_zd_VARHr_O;zigbee:10_zd_VARHr_I;zigbee:10_zd_VARHr_O;zigbee:34_zd_VARHr_I;zigbee:34_zd_VARHr_O
Device Name;TG2- MEDICION GENERAL;LOCAL 113 MINISO;LOCAL  109;LOCAL 111 MINISO;LOCAL 118 SUNTIME;LOCAL 205 ARGENPER;LOCAL 114 TOPI TOP;LOCAL 123 ADIDAS;LOCAL 125 ADIDAS;LOCAL 124 ADIDAS;LOCAL 112 MINISO;LOCAL 116 LA EMPAPADA;LOCAL 117;LOCAL 115 LA EMPAPADA;LOCAL 110 PORTEÃ‘OS;LOCAL 107;LOCAL 120 SUNTIME;LOCAL 119 SUNTIME;LOCAL 104 ALMACEN SERMITECH;LOCAL 102 COOLBOX;LOCAL 210 CASA IDEAS;LOCAL 211 CASA IDEAS;LOCAL 209 CASA IDEAS;RESERVA EQUIPADA LCN30;LOCAL 126;LOCAL 204;LOCAL 103 BE SIFRAH;LOCAL 121 ISADORA;LOCAL 122 TODO MODA;LOCAL 106 CALIMOD;LOCAL 105 AZALEIA;RESERVA EQUIPADA LCN25;LOCAL 212 CASA IDEAS;LOCAL 206 DOLLARCITY;LOCAL 108 MAYLIN;TG2- MEDICION GENERAL;TG2- MEDICION GENERAL;LOCAL 212 CASA IDEAS;LOCAL 212 CASA IDEAS;RESERVA EQUIPADA LCN25;RESERVA EQUIPADA LCN25;LOCAL 114 TOPI TOP;LOCAL 114 TOPI TOP;LOCAL 201;LOCAL 201
Device Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PM5560;PM5560;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580
Measurement Type;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh
2025/09/01 00:00:00;;679703;280613;49929;0;70524;100926;88526;124732;2414;0;0;0;263;0;0;0;0;31308;218892;0;0;0;0;0;0;2226;228039;31479;0;0;0;0;3340048;0;;;0;0;0;0;1;4179;0;0
2025/09/01 00:10:00;;679910;280676;49935;0;70524;100949;88526;124789;551;0;0;0;263;0;0;0;0;31325;218989;0;0;0;0;0;0;2226;228054;31484;0;0;0;0;3340437;0;;;0;0;0;0;1;4179;0;0
2025/09/01 00:20:00;;680117;280740;49941;0;70524;100980;88526;124847;551;0;0;0;263;0;0;0;0;31343;219085;0;0;0;0;0;0;2226;228069;31489;0;0;0;0;3340904;0;;;0;0;0;0;1;4179;0;0
2025/09/01 00:30:00;;680323;280805;49947;0;70524;101003;88526;124904;551;0;0;0;263;0;0;0;0;31360;219181;0;0;0;0;0;0;2226;228084;31494;0;0;0;0;3341251;0;;;0;0;0;0;1;4179;0;0
2025/09/01 00:40:00;;680531;280869;49953;0;70524;101026;88526;124961;551;0;0;0;263;0;0;0;0;31378;219278;0;0;0;0;0;0;2226;228099;31499;0;0;0;0;3341617;0;;;0;0;0;0;1;4179;0;0
2025/09/01 00:50:00;;680737;280928;49959;0;70524;101056;88526;125018;551;0;0;0;263;0;0;0;0;31395;219374;0;0;0;0;0;0;2226;228114;31503;0;0;0;0;3342108;0;;;0;0;0;0;1;4179;0;0
