PANEL;PANEL TG2 N2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element ID;zigbee:1_zd_WHr_I;zigbee:2_zd_WHr_I;zigbee:3_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:5_zd_WHr_I;zigbee:6_zd_WHr_I;zigbee:7_zd_WHr_I;zigbee:8_zd_WHr_I;zigbee:9_zd_WHr_I;zigbee:10_zd_WHr_I;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:13_zd_WHr_I;zigbee:14_zd_WHr_I;zigbee:15_zd_WHr_I;zigbee:16_zd_WHr_I;zigbee:17_zd_WHr_I;zigbee:18_zd_WHr_I;zigbee:19_zd_WHr_I;zigbee:20_zd_WHr_I;zigbee:21_zd_WHr_I;zigbee:22_zd_WHr_I;zigbee:23_zd_WHr_I;zigbee:24_zd_WHr_I;zigbee:25_zd_WHr_I;zigbee:26_zd_WHr_I;zigbee:27_zd_WHr_I;zigbee:28_zd_WHr_I;zigbee:29_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:32_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:34_zd_WHr_I;modbus:1_mb_WHr_I;zigbee:32_zd_VARHr_I;zigbee:32_zd_VARHr_O;modbus:1_mb_VARHr_I;modbus:1_mb_VARHr_O;zigbee:11_zd_VARHr_I;zigbee:11_zd_VARHr_O;zigbee:12_zd_VARHr_I;zigbee:12_zd_VARHr_O;zigbee:30_zd_VARHr_I;zigbee:30_zd_VARHr_O;zigbee:33_zd_VARHr_I;zigbee:33_zd_VARHr_O;zigbee:4_zd_VARHr_I;zigbee:4_zd_VARHr_O;zigbee:31_zd_VARHr_I;zigbee:31_zd_VARHr_O
Device Name;PISO 3 SECTOR 1B M302;PISO 3 SECTOR 1B M307;TABLERO DE DAMPERS;LOCAL 301;LOCAL 101B;LOCAL 303 ;LOCAL 203;LOCAL 202;PISO 3 SECTOR 1B M301;RESERVA EQUIPADA LCN39;LOCAL 101A STARBUCKS;LOCAL 304-305;LOCAL 312;PISO 3 SECTOR 1B M308;PISO 2 SECTOR 1B M303;PISO 3 SECTOR 1B M304;LOCAL M105;LOCAL M106;LOCAL 108B;MODULO M101;MODULO M102;LOCAL M103;LOCAL M104;LOCAL M201;LOCAL M202;LOCAL M203;LOCAL M204;PISO 3 SECTOR 1B M306;PISO 3 SECTOR 1B M305;LOCAL 208 CASA IDEAS;LOCAL 310 PIZZA HUT;LOCAL 308 KFC;LOCAL 306-307 KFC;LOCAL 201;LOCAL 313 SMARTFIT;LOCAL 308 KFC;LOCAL 308 KFC;LOCAL 313 SMARTFIT;LOCAL 313 SMARTFIT;LOCAL 101A STARBUCKS;LOCAL 101A STARBUCKS;LOCAL 304-305;LOCAL 304-305;LOCAL 208 CASA IDEAS;LOCAL 208 CASA IDEAS;LOCAL 306-307 KFC;LOCAL 306-307 KFC;LOCAL 301;LOCAL 301;LOCAL 310 PIZZA HUT;LOCAL 310 PIZZA HUT
Device Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A9MEM1580;A9MEM1580;METSEPM2230 ;METSEPM2230 ;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580;A9MEM1580
Measurement Type;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh
2025/09/01 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 00:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 00:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 00:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 00:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 00:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
