"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
Element ID;zigbee:1_zd_WHr_I;zigbee:2_zd_WHr_I;.;zigbee:4_zd_WHr_I;zigbee:5_zd_WHr_I;zigbee:6_zd_WHr_I;zigbee:7_zd_WHr_I;zigbee:8_zd_WHr_I;zigbee:9_zd_WHr_I;.;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:13_zd_WHr_I;zigbee:14_zd_WHr_I;zigbee:15_zd_WHr_I;zigbee:16_zd_WHr_I;zigbee:17_zd_WHr_I;zigbee:18_zd_WHr_I;zigbee:19_zd_WHr_I;zigbee:20_zd_WHr_I;zigbee:21_zd_WHr_I;zigbee:22_zd_WHr_I;zigbee:23_zd_WHr_I;zigbee:24_zd_WHr_I;zigbee:25_zd_WHr_I;zigbee:26_zd_WHr_I;zigbee:27_zd_WHr_I;zigbee:28_zd_WHr_I;zigbee:29_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:32_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:34_zd_WHr_I;modbus:1_mb_WHr_I;zigbee:32_zd_WHr_I;zigbee:32_zd_WHr_I;modbus:1_mb_WHr_I;modbus:1_mb_WHr_I;zigbee:11_zd_WHr_I;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:31_zd_WHr_I
Device Name;PISO 3 SECTOR 1B M302;PISO 3 SECTOR 1B M307;TABLERO DE DAMPERS;LOCAL 301;LOCAL 101B;LOCAL 303 ;LOCAL 203;LOCAL 202;PISO 3 SECTOR 1B M301;RESERVA EQUIPADA LCN39;LOCAL 101A STARBUCKS;LOCAL 304-305;LOCAL 312;PISO 3 SECTOR 1B M308;PISO 2 SECTOR 1B M303;PISO 3 SECTOR 1B M304;LOCAL M105;LOCAL M106;LOCAL 108B;MODULO M101;MODULO M102;LOCAL M103;LOCAL M104;LOCAL M201;LOCAL M202;LOCAL M203;LOCAL M204;PISO 3 SECTOR 1B M306;PISO 3 SECTOR 1B M305;LOCAL 208 CASA IDEAS;LOCAL 310 PIZZA HUT;LOCAL 308 KFC;LOCAL 306-307 KFC;LOCAL 201;LOCAL 313 SMARTFIT;LOCAL 308 KFC;LOCAL 308 KFC;LOCAL 313 SMARTFIT;LOCAL 313 SMARTFIT;LOCAL 101A STARBUCKS;LOCAL 101A STARBUCKS;LOCAL 304-305;LOCAL 304-305;LOCAL 208 CASA IDEAS;LOCAL 208 CASA IDEAS;LOCAL 306-307 KFC;LOCAL 306-307 KFC;LOCAL 301;LOCAL 301;LOCAL 310 PIZZA HUT;LOCAL 310 PIZZA HUT
Device Type;337627331261608;875676979462036;.;665003511841006;581605201650169;36619705881581;744899947809308;251489306782589;953875223880666;.;551599847836764;663724002498357;732336322420386;394857934061924;723962888989905;679896372351996;923321670582190;893845917793809;869617193075069;581249158224008;843360911270229;505414884951205;637957823923257;743517127810913;41545954570335;595773024461625;842615102024283;625900755793801;589683872408150;602496029605727;502477914127655;65545375520861;822148592343810;881626283988844;156003169091211;65545375520861;65545375520861;156003169091211;156003169091211;551599847836764;551599847836764;663724002498357;663724002498357;602496029605727;602496029605727;822148592343810;822148592343810;665003511841006;665003511841006;502477914127655;502477914127655
Measurement Name;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh;VArh
2025/09/01 00:00:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 00:10:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 00:20:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 00:30:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 00:40:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 00:50:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
