"sep=;"
A;modbus:9_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:9_mb_WHr_I;modbus:9_mb_WHr_I
Device Name;TTA-1 - MEDICION EMERGENCIA;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TTA-1 - MEDICION EMERGENCIA;TTA-1 - MEDICION EMERGENCIA
Device type;;;;;;
Measurement Name;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;VArh;VArh;VArh;VArh
2025/09/09 16:20:00;nan;nan;nan;nan;nan;nan
2025/09/09 16:30:00;nan;nan;nan;nan;nan;nan
2025/09/09 16:40:00;nan;nan;nan;nan;nan;nan
2025/09/09 16:50:00;nan;nan;nan;nan;nan;nan
2025/09/09 17:00:00;nan;nan;nan;nan;nan;nan
2025/09/09 17:10:00;nan;nan;nan;nan;nan;nan
2025/09/09 17:20:00;nan;nan;nan;nan;nan;nan
2025/09/09 17:30:00;nan;nan;nan;nan;nan;nan
2025/09/09 17:40:00;42696359;41580938;5871323;8578624;1787056;15244395
2025/09/09 17:50:00;42702624;41587327;5871323;8580755;1787056;15246525
2025/09/09 18:00:00;42708933;41593692;5871323;8582883;1787056;15248653
2025/09/09 18:10:00;42715215;41600064;5871323;8585019;1787056;15250788
2025/09/09 18:20:00;42721445;41606506;5871323;8587152;1787056;15252925
2025/09/09 18:30:00;42727706;41613003;5871323;8589286;1787056;15255055
2025/09/09 18:40:00;42733941;41619459;5871323;8591420;1787056;15257189
2025/09/09 18:50:00;42740115;41625856;5871323;8593554;1787056;15259323
2025/09/09 19:00:00;42746400;41632363;5871323;8595682;1787056;15261451
2025/09/09 19:10:00;42752571;41638757;5871323;8597814;1787056;15263582
2025/09/09 19:20:00;42758920;41645326;5871323;8599917;1787056;15265685
2025/09/09 19:30:00;42765143;41651769;5871323;8602045;1787056;15267812
2025/09/09 19:40:00;42771546;41658263;5871323;8604159;1787056;15269930
2025/09/09 19:50:00;42777990;41664772;5871323;8606286;1787056;15272057
2025/09/09 20:00:00;42784422;41671313;5871323;8608421;1787056;15274188
2025/09/09 20:10:00;42790815;41677927;5871323;8610560;1787056;15276327
2025/09/09 20:20:00;42797178;41684509;5871323;8612694;1787056;15278460
2025/09/09 20:30:00;42803639;41691179;5871323;8614822;1787056;15280591
2025/09/09 20:40:00;42809998;41697770;5871323;8616960;1787056;15282725
2025/09/09 20:50:00;42816225;41704216;5871323;8619099;1787056;15284863
2025/09/09 21:00:00;42822545;41710767;5871335;8621202;1787056;15286990
2025/09/09 21:10:00;42828740;41717421;5871528;8622689;1787056;15289148
2025/09/09 21:20:00;42834840;41723929;5871535;8624600;1787056;15291319
2025/09/09 21:30:00;42841066;41730574;5871554;8626447;1787056;15293470
2025/09/09 21:40:00;42847355;41737313;5871595;8628257;1787056;15295615
2025/09/09 21:50:00;42853663;41744197;5871638;8630045;1787056;15297766
2025/09/09 22:00:00;42859854;41750959;5871662;8631934;1787056;15299926
2025/09/09 22:10:00;42866058;41757737;5871690;8633767;1787056;15302064
2025/09/09 22:20:00;42872297;41764401;5871700;8635646;1787056;15304135
2025/09/09 22:30:00;42878438;41770774;5871700;8637718;1787056;15306202
2025/09/09 22:40:00;42884626;41777183;5871700;8639787;1787056;15308269
2025/09/09 22:50:00;42890754;41783463;5871700;8641877;1787056;15310358
2025/09/09 23:00:00;42896914;41789681;5871700;8643965;1787056;15312444
2025/09/09 23:10:00;42902996;41795816;5871700;8646053;1787056;15314534
2025/09/09 23:20:00;42909018;41802011;5871700;8648145;1787056;15316620
2025/09/09 23:30:00;42914991;41808205;5871700;8650246;1787056;15318719
