ID,zigbee:19_zd_WHr_O,zigbee:19_zd_WHr_I,zigbee:14_zd_WHr_O,zigbee:8_zd_WHr_O,zigbee:30_zd_WHr_I,zigbee:27_zd_WHr_I,zigbee:8_zd_WHr_I,zigbee:30_zd_WHr_O,zigbee:14_zd_WHr_I,zigbee:22_zd_WHr_O,zigbee:22_zd_WHr_I,zigbee:27_zd_WHr_O,zigbee:26_zd_WHr_O,zigbee:3_zd_WHr_O,zigbee:3_zd_WHr_I,zigbee:4_zd_WHr_I,zigbee:4_zd_WHr_O,zigbee:26_zd_WHr_I,zigbee:10_zd_WHr_O,zigbee:10_zd_WHr_I,zigbee:23_zd_WHr_O,zigbee:28_zd_WHr_I,zigbee:23_zd_WHr_I,zigbee:18_zd_WHr_I,zigbee:18_zd_WHr_O,zigbee:33_zd_WHr_O,zigbee:33_zd_WHr_I,zigbee:25_zd_WHr_I,zigbee:25_zd_WHr_O,zigbee:15_zd_WHr_O,zigbee:5_zd_WHr_O,zigbee:5_zd_WHr_I,zigbee:12_zd_WHr_O,zigbee:28_zd_WHr_O,zigbee:2_zd_WHr_I,zigbee:15_zd_WHr_I,zigbee:2_zd_WHr_O,zigbee:32_zd_WHr_I,zigbee:6_zd_WHr_I,zigbee:32_zd_WHr_O,zigbee:6_zd_WHr_O,zigbee:29_zd_WHr_I,zigbee:29_zd_WHr_O,zigbee:12_zd_WHr_I,zigbee:24_zd_WHr_O,zigbee:1_zd_WHr_I,zigbee:1_zd_WHr_O,zigbee:16_zd_WHr_O,zigbee:20_zd_WHr_O,zigbee:16_zd_WHr_I,zigbee:17_zd_WHr_O,zigbee:20_zd_WHr_I,zigbee:17_zd_WHr_I,zigbee:7_zd_WHr_I,zigbee:7_zd_WHr_O,zigbee:13_zd_WHr_I,zigbee:31_zd_WHr_O,zigbee:31_zd_WHr_I,modbus:1_mb_WHr_O,modbus:1_mb_WHr_I,zigbee:13_zd_WHr_O,zigbee:11_zd_WHr_I,zigbee:11_zd_WHr_O,zigbee:9_zd_WHr_I,zigbee:9_zd_WHr_O,zigbee:34_zd_WHr_I,zigbee:24_zd_WHr_I,zigbee:21_zd_WHr_O,zigbee:21_zd_WHr_I,zigbee:34_zd_WHr_O
Time,LOCAL 108B,LOCAL 108B,PISO 3 SECTOR 1B M308,LOCAL 202,LOCAL 208 CASA IDEAS,LOCAL M204,LOCAL 202,LOCAL 208 CASA IDEAS,PISO 3 SECTOR 1B M308,LOCAL M103,LOCAL M103,LOCAL M204,LOCAL M203,TABLERO DE DAMPERS,TABLERO DE DAMPERS,LOCAL 301,LOCAL 301,LOCAL M203,RESERVA EQUIPADA LCN39,RESERVA EQUIPADA LCN39,LOCAL M104,PISO 3 SECTOR 1B M306,LOCAL M104,LOCAL M106,LOCAL M106,LOCAL 306-307 KFC,LOCAL 306-307 KFC,LOCAL M202,LOCAL M202,PISO 2 SECTOR 1B M303,LOCAL 101B,LOCAL 101B,LOCAL 304-305,PISO 3 SECTOR 1B M306,PISO 3 SECTOR 1B M307,PISO 2 SECTOR 1B M303,PISO 3 SECTOR 1B M307,LOCAL 308 KFC,LOCAL 303 ,LOCAL 308 KFC,LOCAL 303 ,PISO 3 SECTOR 1B M305,PISO 3 SECTOR 1B M305,LOCAL 304-305,LOCAL M201,PISO 3 SECTOR 1B M302,PISO 3 SECTOR 1B M302,PISO 3 SECTOR 1B M304,MODULO M101,PISO 3 SECTOR 1B M304,LOCAL M105,MODULO M101,LOCAL M105,LOCAL 203,LOCAL 203,LOCAL 312,LOCAL 310 PIZZA HUT,LOCAL 310 PIZZA HUT,LOCAL 313 SMARTFIT,LOCAL 313 SMARTFIT,LOCAL 312,LOCAL 101A STARBUCKS,LOCAL 101A STARBUCKS,PISO 3 SECTOR 1B M301,PISO 3 SECTOR 1B M301,LOCAL 201,LOCAL M201,MODULO M102,MODULO M102,LOCAL 201
2025/10/03 11:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,54714,nan,nan,6507,2800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,592482,nan,nan,nan,nan,nan,nan,nan,0,nan,0,501075,4927,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1497454,nan,209477,90,nan,nan,0,nan,nan,nan,0
2025/10/03 12:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,55226,nan,nan,6507,2812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,594019,nan,nan,nan,nan,nan,nan,nan,0,nan,0,502176,4934,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1503457,nan,210231,90,nan,nan,0,nan,nan,nan,0
2025/10/03 13:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,55737,nan,nan,6507,2821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,595620,nan,nan,nan,nan,nan,nan,nan,0,nan,0,503233,4979,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1509366,nan,211237,90,nan,nan,0,nan,nan,nan,0
2025/10/03 14:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,56251,nan,nan,6507,2830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,597127,nan,nan,nan,nan,nan,nan,nan,0,nan,0,504267,5003,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1515285,nan,212257,90,nan,nan,0,nan,nan,nan,0
2025/10/03 15:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,56764,nan,nan,6507,2839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,598254,nan,nan,nan,nan,nan,nan,nan,0,nan,0,505280,5031,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1521218,nan,213477,90,nan,nan,0,nan,nan,nan,0
2025/10/03 16:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,57276,nan,nan,6507,2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,599597,nan,nan,nan,nan,nan,nan,nan,0,nan,0,506277,5049,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1527270,nan,214139,91,nan,nan,0,nan,nan,nan,0
2025/10/03 17:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,57789,nan,nan,6507,2857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,601378,nan,nan,nan,nan,nan,nan,nan,0,nan,0,507278,5049,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1533433,nan,214776,91,nan,nan,0,nan,nan,nan,0
2025/10/03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,58302,nan,nan,6507,2866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,603135,nan,nan,nan,nan,nan,nan,nan,0,nan,0,508274,5049,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1539801,nan,215196,97,nan,nan,0,nan,nan,nan,0
2025/10/03 19:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,160,58815,nan,nan,6507,2875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,604881,nan,nan,nan,nan,nan,nan,nan,0,nan,0,509251,5049,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1546389,nan,215698,97,nan,nan,0,nan,nan,nan,0
