ID,zigbee:47_zd_WHr_O,zigbee:19_zd_WHr_O,zigbee:19_zd_WHr_I,zigbee:14_zd_WHr_O,zigbee:42_zd_WHr_O,zigbee:42_zd_WHr_I,zigbee:47_zd_WHr_I,zigbee:30_zd_WHr_I,zigbee:30_zd_WHr_O,zigbee:14_zd_WHr_I,zigbee:35_zd_WHr_O,zigbee:26_zd_WHr_O,zigbee:4_zd_WHr_I,zigbee:4_zd_WHr_O,zigbee:35_zd_WHr_I,zigbee:26_zd_WHr_I,zigbee:51_zd_WHr_I,zigbee:51_zd_WHr_O,zigbee:38_zd_WHr_O,zigbee:23_zd_WHr_O,zigbee:28_zd_WHr_I,zigbee:23_zd_WHr_I,zigbee:38_zd_WHr_I,zigbee:33_zd_WHr_O,zigbee:33_zd_WHr_I,zigbee:12_zd_WHr_O,zigbee:40_zd_WHr_I,zigbee:28_zd_WHr_O,zigbee:40_zd_WHr_O,zigbee:2_zd_WHr_I,zigbee:2_zd_WHr_O,zigbee:37_zd_WHr_I,zigbee:37_zd_WHr_O,zigbee:24_zd_WHr_O,zigbee:1_zd_WHr_I,zigbee:1_zd_WHr_O,zigbee:17_zd_WHr_O,zigbee:17_zd_WHr_I,zigbee:7_zd_WHr_I,zigbee:7_zd_WHr_O,zigbee:41_zd_WHr_O,zigbee:41_zd_WHr_I,zigbee:31_zd_WHr_O,zigbee:31_zd_WHr_I,zigbee:11_zd_WHr_I,zigbee:11_zd_WHr_O,zigbee:44_zd_WHr_I,zigbee:44_zd_WHr_O,zigbee:34_zd_WHr_I,zigbee:24_zd_WHr_I,zigbee:21_zd_WHr_O,zigbee:21_zd_WHr_I,zigbee:34_zd_WHr_O,zigbee:50_zd_WHr_O,zigbee:50_zd_WHr_I,zigbee:8_zd_WHr_O,zigbee:27_zd_WHr_I,zigbee:8_zd_WHr_I,zigbee:22_zd_WHr_O,zigbee:22_zd_WHr_I,zigbee:27_zd_WHr_O,zigbee:3_zd_WHr_O,zigbee:3_zd_WHr_I,zigbee:48_zd_WHr_I,zigbee:39_zd_WHr_I,zigbee:10_zd_WHr_O,zigbee:39_zd_WHr_O,zigbee:10_zd_WHr_I,zigbee:46_zd_WHr_I,zigbee:48_zd_WHr_O,zigbee:18_zd_WHr_I,zigbee:18_zd_WHr_O,zigbee:36_zd_WHr_I,zigbee:46_zd_WHr_O,zigbee:53_zd_WHr_I,zigbee:53_zd_WHr_O,zigbee:25_zd_WHr_I,zigbee:43_zd_WHr_I,zigbee:43_zd_WHr_O,zigbee:25_zd_WHr_O,zigbee:15_zd_WHr_O,zigbee:5_zd_WHr_O,zigbee:5_zd_WHr_I,zigbee:15_zd_WHr_I,zigbee:32_zd_WHr_I,zigbee:6_zd_WHr_I,zigbee:32_zd_WHr_O,zigbee:6_zd_WHr_O,zigbee:29_zd_WHr_I,zigbee:29_zd_WHr_O,zigbee:12_zd_WHr_I,zigbee:52_zd_WHr_O,zigbee:49_zd_WHr_O,zigbee:52_zd_WHr_I,zigbee:49_zd_WHr_I,zigbee:16_zd_WHr_O,zigbee:20_zd_WHr_O,zigbee:16_zd_WHr_I,zigbee:20_zd_WHr_I,zigbee:36_zd_WHr_O,zigbee:45_zd_WHr_I,zigbee:45_zd_WHr_O,zigbee:13_zd_WHr_I,zigbee:13_zd_WHr_O,zigbee:9_zd_WHr_I,zigbee:9_zd_WHr_O
Time,LOCAL 306-307 KFC,LOCAL 120 SUNTIME,LOCAL 120 SUNTIME,LOCAL 125 ADIDAS,LOCAL 101B,LOCAL 101B,LOCAL 306-307 KFC,LOCAL 208 CASA IDEAS,LOCAL 208 CASA IDEAS,LOCAL 125 ADIDAS,LOCAL 202,LOCAL 212,LOCAL 115 LA EMPAPADA,LOCAL 115 LA EMPAPADA,LOCAL 202,LOCAL 212,LOCAL 310-311 PIZZA HUT,LOCAL 310-311 PIZZA HUT,LOCAL 304-305,LOCAL 103 BE SIFRAH,LOCAL 210 CASA IDEAS,LOCAL 103 BE SIFRAH,LOCAL 304-305,LOCAL 204,LOCAL 204,LOCAL 107,RESERVA EQUIPADA LCE41,LOCAL 210 CASA IDEAS,RESERVA EQUIPADA LCE41,LOCAL 117,LOCAL 117,RESERVA EQUIPADA LCE38,RESERVA EQUIPADA LCE38,LOCAL 102 COOLBOX,LOCAL 118 SUNTIME,LOCAL 118 SUNTIME,LOCAL 122 TODO MODA,LOCAL 122 TODO MODA,LOCAL 112 MINISO,LOCAL 112 MINISO,LOCAL 301-302,LOCAL 301-302,RESERVA EQUIPADA LCE31,RESERVA EQUIPADA LCE31,LOCAL 108A MAYLIN,LOCAL 108A MAYLIN,LOCAL 313 SMARTFIT,LOCAL 313 SMARTFIT,LOCAL 203,LOCAL 102 COOLBOX,LOCAL 105 AZALEIA,LOCAL 105 AZALEIA,LOCAL 203,RESERVA EQUIPADA LCE51,RESERVA EQUIPADA LCE51,LOCAL 111 MINISO,LOCAL 211 CASA IDEAS,LOCAL 111 MINISO,LOCAL 104,LOCAL 104,LOCAL 211 CASA IDEAS,LOCAL 116 LA EMPAPADA,LOCAL 116 LA EMPAPADA,RESERVA EQUIPADA LCE49,LOCAL 303,LOCAL 109,LOCAL 303,LOCAL 109,LOCAL 312,RESERVA EQUIPADA LCE49,LOCAL 121 ISADORA,LOCAL 121 ISADORA,LOCAL 201,LOCAL 312,LOCAL 205 ARGENPER,LOCAL 205 ARGENPER,LOCAL 101A STARBUCKS,LOCAL 108B,LOCAL 108B,LOCAL 101A STARBUCKS,LOCAL 124,LOCAL 114,LOCAL 114,LOCAL 124,LOCAL 206 DOLLARCITY,LOCAL 113 MINISO,LOCAL 206 DOLLARCITY,LOCAL 113 MINISO,LOCAL 209 CASA IDEAS,LOCAL 209 CASA IDEAS,LOCAL 107,RESERVA EQUIPADA LCE53,LOCAL 308-309 KFC,RESERVA EQUIPADA LCE53,LOCAL 308-309 KFC,LOCAL 123 ADIDAS,LOCAL 119 SUNTIME,LOCAL 123 ADIDAS,LOCAL 119 SUNTIME,LOCAL 201,LOCAL 126,LOCAL 126,LOCAL 106 CALIMOD,LOCAL 106 CALIMOD,LOCAL 110,LOCAL 110
2025/10/03 11:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,13641,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 12:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,13792,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 13:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,13945,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 14:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,14099,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 15:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,14249,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 16:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,14401,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 17:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,14558,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 18:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,14708,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
2025/10/03 19:00:00,nan,nan,nan,0,nan,nan,nan,nan,nan,203,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan,nan,nan,nan,nan,nan,14859,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,nan,nan,nan,nan,nan,nan,547,6,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,137,236,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
