ID,NAME,PANEL,Acometida,Imei,
zigbee:19_zd_WHr_O,LOCAL 108B,filtered_data-locatario-2.csv,LCN.57,869617193075069,
zigbee:14_zd_WHr_O,PISO 3 SECTOR 1B M308,filtered_data-locatario-2.csv,LCN.49,?,Imei no registrado plano M301 a M308
zigbee:8_zd_WHr_O,LOCAL 202,filtered_data-locatario-2.csv,LCN.36,251489306782589,
zigbee:30_zd_WHr_O,LOCAL 208 CASA IDEAS,filtered_data-locatario-2.csv,LCN.45,602496029605727,
zigbee:22_zd_WHr_O,LOCAL M103,filtered_data-locatario-2.csv,LCN.60,505414884951205,
zigbee:27_zd_WHr_O,LOCAL M204,filtered_data-locatario-2.csv,LCN.65,842615102024283,
zigbee:26_zd_WHr_O,LOCAL M203,filtered_data-locatario-2.csv,LCN.64,595773024461625,
zigbee:3_zd_WHr_O,TABLERO DE DAMPERS,filtered_data-locatario-2.csv,?,?,Que acometida es?
zigbee:4_zd_WHr_O,LOCAL 301,filtered_data-locatario-2.csv,LCN.44,665003511841006,
zigbee:10_zd_WHr_O,RESERVA EQUIPADA LCN39,filtered_data-locatario-2.csv,LCN.39,.,
zigbee:23_zd_WHr_O,LOCAL M104,filtered_data-locatario-2.csv,LCN.61,537993829986603,
zigbee:18_zd_WHr_O,LOCAL M106,filtered_data-locatario-2.csv,LCN.55,985928595368156,
zigbee:33_zd_WHr_O,LOCAL 306-307 KFC,filtered_data-locatario-2.csv,LCN.48,822148592343810,
zigbee:25_zd_WHr_O,LOCAL M202,filtered_data-locatario-2.csv,LCN.63,435372333083090,
zigbee:15_zd_WHr_O,PISO 2 SECTOR 1B M303,filtered_data-locatario-2.csv,LCN.51,?,Imei no registrado plano M301 a M308
zigbee:5_zd_WHr_O,LOCAL 101B,filtered_data-locatario-2.csv,LCN.56,581605201650169,
zigbee:12_zd_WHr_O,LOCAL 304-305,filtered_data-locatario-2.csv,LCN.43,663724002498357,
zigbee:28_zd_WHr_O,PISO 3 SECTOR 1B M306,filtered_data-locatario-2.csv,LCN.66,?,Imei no registrado plano M301 a M308
zigbee:2_zd_WHr_O,PISO 3 SECTOR 1B M307,filtered_data-locatario-2.csv,LCN.42,?,Imei no registrado plano M301 a M308
zigbee:32_zd_WHr_O,LOCAL 308 KFC,filtered_data-locatario-2.csv,LCN.50,065545375520861,
zigbee:6_zd_WHr_O,LOCAL 303 ,filtered_data-locatario-2.csv,LCN.40,036619705881581,
zigbee:29_zd_WHr_O,PISO 3 SECTOR 1B M305,filtered_data-locatario-2.csv,LCN.67,?,Imei no registrado plano M301 a M308
zigbee:24_zd_WHr_O,LOCAL M201,filtered_data-locatario-2.csv,LCN.62,743517127810913,
zigbee:1_zd_WHr_O,PISO 3 SECTOR 1B M302,filtered_data-locatario-2.csv,LCN.66,?,Imei no registrado plano M301 a M308
zigbee:16_zd_WHr_O,PISO 3 SECTOR 1B M304,filtered_data-locatario-2.csv,LCN.53,?,Imei no registrado plano M301 a M308
zigbee:20_zd_WHr_O,MODULO M101,filtered_data-locatario-2.csv,LCN.58,581249158224008	,
zigbee:17_zd_WHr_O,LOCAL M105,filtered_data-locatario-2.csv,LCN.54,923321670582190	,
zigbee:7_zd_WHr_O,LOCAL 203,filtered_data-locatario-2.csv,LCN.35,744899947809308,
zigbee:31_zd_WHr_O,LOCAL 310 PIZZA HUT,filtered_data-locatario-2.csv,LCN.52,502477914127655	,
modbus:1_mb_WHr_O,LOCAL 313 SMARTFIT,filtered_data-locatario-2.csv,LCN.68,156003169091211,
zigbee:13_zd_WHr_O,LOCAL 312,filtered_data-locatario-2.csv,LCN.47,732336322420386	,
zigbee:11_zd_WHr_O,LOCAL 101A STARBUCKS,filtered_data-locatario-2.csv,LCN.25,551599847836764,
zigbee:9_zd_WHr_O,PISO 3 SECTOR 1B M301,filtered_data-locatario-2.csv,LCN.38,?,Imei no registrado plano M301 a M308
zigbee:21_zd_WHr_O,MODULO M102,filtered_data-locatario-2.csv,LCN.59,843360911270229	,
zigbee:34_zd_WHr_O,LOCAL 201,filtered_data-locatario-2.csv,LCN.37,881626283988844,
zigbee:63_zd_WHr_O,LOCAL 103 BE SIFRAH,filtered_data-locatario-1.csv,LCN.23,952513667615231,
zigbee:67_zd_WHr_O,LOCAL 122 TODO MODA,filtered_data-locatario-1.csv,LCN.17,985512598979614,Deberia ser Isidora
zigbee:66_zd_WHr_O,LOCAL 206 DOLLARCITY,filtered_data-locatario-1.csv,LCN.32,143004408391905,
zigbee:71_zd_WHr_O,RESERVA EQUIPADA LCN25,filtered_data-locatario-1.csv,LCN.25,.,
zigbee:69_zd_WHr_O,LOCAL 105 AZALEIA,filtered_data-locatario-1.csv,LCN.21,322270759063182,
zigbee:65_zd_WHr_O,LOCAL 121 ISADORA,filtered_data-locatario-1.csv,LCN.18,649128039000711,Deberia ser Todo moda
zigbee:73_zd_WHr_O,LOCAL 212 CASA IDEAS,filtered_data-locatario-1.csv,LCN ? 45 o 46,,No figura en datos de acometidas
zigbee:68_zd_WHr_O,LOCAL 106 CALIMOD,filtered_data-locatario-1.csv,LCN.13,249708457989651,
zigbee:47_zd_WHr_O,LOCAL 306-307 KFC,filtered_data-electrogeno-1.csv,LCE.48,368944276326380,
zigbee:42_zd_WHr_O,LOCAL 101B,filtered_data-electrogeno-1.csv,LCE.43,382961957244554	,
zigbee:35_zd_WHr_O,LOCAL 202,filtered_data-electrogeno-1.csv,LCE.36,791874624776655,
zigbee:51_zd_WHr_O,LOCAL 310-311 PIZZA HUT,filtered_data-electrogeno-1.csv,LCE.52,259159536856297,
zigbee:38_zd_WHr_O,LOCAL 304-305,filtered_data-electrogeno-1.csv,LCE.39,X,Imei no registrado plano
zigbee:40_zd_WHr_O,RESERVA EQUIPADA LCE41,filtered_data-electrogeno-1.csv,LCE.41,.,
zigbee:37_zd_WHr_O,RESERVA EQUIPADA LCE38,filtered_data-electrogeno-1.csv,LCE.38,.,
zigbee:41_zd_WHr_O,LOCAL 301-302,filtered_data-electrogeno-1.csv,LCE.42,778116972188453,
zigbee:44_zd_WHr_O,LOCAL 313 SMARTFIT,filtered_data-electrogeno-1.csv,LCE.45,621142403014267,
zigbee:50_zd_WHr_O,RESERVA EQUIPADA LCE51,filtered_data-electrogeno-1.csv,LCE.51,.,
zigbee:39_zd_WHr_O,LOCAL 303,filtered_data-electrogeno-1.csv,LCE.40,911924243667748,
zigbee:48_zd_WHr_O,RESERVA EQUIPADA LCE49,filtered_data-electrogeno-1.csv,LCE.49,.,
zigbee:46_zd_WHr_O,LOCAL 312,filtered_data-electrogeno-1.csv,LCE.47,148519400876167,
zigbee:53_zd_WHr_O,LOCAL 205 ARGENPER,filtered_data-electrogeno-1.csv,LCE.33,952606725425051,
zigbee:43_zd_WHr_O,LOCAL 108B,filtered_data-electrogeno-1.csv,LCE.44,701110642055468,
zigbee:52_zd_WHr_O,RESERVA EQUIPADA LCE53,filtered_data-electrogeno-1.csv,LCE.53,.,
zigbee:49_zd_WHr_O,LOCAL 308-309 KFC,filtered_data-electrogeno-1.csv,LCE.50,851961474681682,
zigbee:36_zd_WHr_O,LOCAL 201,filtered_data-electrogeno-1.csv,LCE.37,639138645191940,
zigbee:45_zd_WHr_O,LOCAL 126,filtered_data-electrogeno-1.csv,LCE.46,907703433163733,
