ID,IMEI,NAME
zigbee:47_zd_WHr_O,,LOCAL 306-307 KFC
zigbee:19_zd_WHr_O,,LOCAL 120 SUNTIME
zigbee:19_zd_WHr_I,,LOCAL 120 SUNTIME
zigbee:14_zd_WHr_O,,LOCAL 125 ADIDAS
zigbee:42_zd_WHr_O,,LOCAL 101B
zigbee:42_zd_WHr_I,,LOCAL 101B
zigbee:47_zd_WHr_I,,LOCAL 306-307 KFC
zigbee:30_zd_WHr_I,,LOCAL 208 CASA IDEAS
zigbee:30_zd_WHr_O,,LOCAL 208 CASA IDEAS
zigbee:14_zd_WHr_I,,LOCAL 125 ADIDAS
zigbee:35_zd_WHr_O,,LOCAL 202
zigbee:26_zd_WHr_O,,LOCAL 212
zigbee:4_zd_WHr_I,,LOCAL 115 LA EMPAPADA
zigbee:4_zd_WHr_O,,LOCAL 115 LA EMPAPADA
zigbee:35_zd_WHr_I,,LOCAL 202
zigbee:26_zd_WHr_I,,LOCAL 212
zigbee:51_zd_WHr_I,,LOCAL 310-311 PIZZA HUT
zigbee:51_zd_WHr_O,,LOCAL 310-311 PIZZA HUT
zigbee:38_zd_WHr_O,,LOCAL 304-305
zigbee:23_zd_WHr_O,,LOCAL 103 BE SIFRAH
zigbee:28_zd_WHr_I,,LOCAL 210 CASA IDEAS
zigbee:23_zd_WHr_I,,LOCAL 103 BE SIFRAH
zigbee:38_zd_WHr_I,,LOCAL 304-305
zigbee:33_zd_WHr_O,,LOCAL 204
zigbee:33_zd_WHr_I,,LOCAL 204
zigbee:12_zd_WHr_O,,LOCAL 107
zigbee:40_zd_WHr_I,,RESERVA EQUIPADA LCE41
zigbee:28_zd_WHr_O,,LOCAL 210 CASA IDEAS
zigbee:40_zd_WHr_O,,RESERVA EQUIPADA LCE41
zigbee:2_zd_WHr_I,,LOCAL 117
zigbee:2_zd_WHr_O,,LOCAL 117
zigbee:37_zd_WHr_I,,RESERVA EQUIPADA LCE38
zigbee:37_zd_WHr_O,,RESERVA EQUIPADA LCE38
zigbee:24_zd_WHr_O,,LOCAL 102 COOLBOX
zigbee:1_zd_WHr_I,,LOCAL 118 SUNTIME
zigbee:1_zd_WHr_O,,LOCAL 118 SUNTIME
zigbee:17_zd_WHr_O,,LOCAL 122 TODO MODA
zigbee:17_zd_WHr_I,,LOCAL 122 TODO MODA
zigbee:7_zd_WHr_I,,LOCAL 112 MINISO
zigbee:7_zd_WHr_O,,LOCAL 112 MINISO
zigbee:41_zd_WHr_O,,LOCAL 301-302
zigbee:41_zd_WHr_I,,LOCAL 301-302
zigbee:31_zd_WHr_O,,RESERVA EQUIPADA LCE31
zigbee:31_zd_WHr_I,,RESERVA EQUIPADA LCE31
zigbee:11_zd_WHr_I,,LOCAL 108A MAYLIN
zigbee:11_zd_WHr_O,,LOCAL 108A MAYLIN
zigbee:44_zd_WHr_I,,LOCAL 313 SMARTFIT
zigbee:44_zd_WHr_O,,LOCAL 313 SMARTFIT
zigbee:34_zd_WHr_I,,LOCAL 203
zigbee:24_zd_WHr_I,,LOCAL 102 COOLBOX
zigbee:21_zd_WHr_O,,LOCAL 105 AZALEIA
zigbee:21_zd_WHr_I,,LOCAL 105 AZALEIA
zigbee:34_zd_WHr_O,,LOCAL 203
zigbee:50_zd_WHr_O,,RESERVA EQUIPADA LCE51
zigbee:50_zd_WHr_I,,RESERVA EQUIPADA LCE51
zigbee:8_zd_WHr_O,,LOCAL 111 MINISO
zigbee:27_zd_WHr_I,,LOCAL 211 CASA IDEAS
